PopID,PopName,Country,Owner,OwnerName
AMM,Ammersee,Germany,AMM,Ammersee
BAN,Bandon Valley,Ireland,BAN,Bandon Valley
CHO,Choupal,Portugal,CHO,Choupal
HAR,Harjavalta,Finland,HAR,Harjavalta
HOC,Hochstadt,Germany,HOC,Hochstadt
KEV,Kevo,Finland,KEV,Kevo
MIS,Miscellaneous populations,France,MON,Montpellier
MON,Montpellier city,France,MON,Montpellier
MTV,Mont Ventoux,France,MON,Montpellier
MUR,Muro,France,MON,Montpellier
PIR,Pirio,France,MON,Montpellier
ROU,Rouviere,France,MON,Montpellier
BUU,Buunderkamp,Netherlands,NIOO,NIOO
HOG,Hoge Veluwe,Netherlands,NIOO,NIOO
LIE,Liesbos,Netherlands,NIOO,NIOO
OOS,Oosterhout,Netherlands,NIOO,NIOO
VLI,Vlieland,Netherlands,NIOO,NIOO
WAR,Warnsborn,Netherlands,NIOO,NIOO
WES,Westerheide,Netherlands,NIOO,NIOO
EDM,East Dartmoor,UK,PFN,PiedFlyNet
PIL,Pilis-Visegrad Mountains,Hungary,PIL,Pilis-Visegrad Mountains
SSQ,Santo Stefano Quisquina,Italy,SSQ,Santo Stefano Quisquina
BOS,Boshoek,Belgium,UAN,University of Antwerp
PEE,Peerdsbos,Belgium,UAN,University of Antwerp
VEL,Velky Kosir,Czechia,VEL,Velky Kosir
WYT,Wytham Woods,UK,WYT,Wytham Woods
ASK,Askainen,Finland,ASK,Askainen
BER,Berkenheuvel,Netherlands,RUG,Rijksuniversiteit Groningen
BRG,Bergen,Norway,BRG,Bergen
CAN,Canada de los Pajaros,Spain,CAN,Canada de los Pajaros
CAC,Can Cata,Spain,CAC,Can Cata
DAE,Daeli,Norway,DAE,Daeli
DAL,Dalmeny,UK,DAL,Dalmeny
DAZ,Dazinj,Croatia,DAZ,Dazinj
DLO,Dlouha Loucka,Czechia,DLO,Dlouha Loucka
DON,Donana,Spain,DON,Donana
DUN,Dunedin,New Zealand,DUN,Dunedin
FOR,Forstenrieder Park,Germany,FOR,Forstenrieder Park
GAR,Garscube campus,UK,GLA,Glasgow
CAS,Cashel farm forest,UK,GLA,Glasgow
SAL,Sallochy,UK,GLA,Glasgow
KEL,Kelvingrove park,UK,GLA,Glasgow
SCE,Scene,UK,GLA,Glasgow
GLI,Glimmen,Netherlands,GLI,Glimmen
GRO,Grobla - Niepolomice Forest,Poland,GRO,Grobla - Niepolomice Forest
LAH,La Hiruela,Spain,LAH,La Hiruela
KIL,Kilingi-Nomme,Estonia,KIL,Kilingi-Nomme
KUU,Kuusamo,Finland,KUU,Kuusamo
LAK,Lakselvdalen Troms,Norway,LAK,Lakselvdalen Troms
LAN,Lancaster,UK,LAN,Lancaster
LAS,Lasy Szwalewskie,Poland,LAS,Lasy Szwalewskie
LUN,Lundy Island,UK,LUN,Lundy Island
MAL,Malmo,Sweden,MAL,Malmo
MAR,Mariola,Spain,MAR,Mariola
MAY,Mayachino,Russia,MAY,Mayachino
MET,Metu,Turkey,MET,Metu
MIE,Mierzeja Wislana,Poland,MIE,Mierzeja Wislana
MOU,Moulis,France,MOU,Moulis
MTA,MTA-PE Evolutionary Ecology Group,Hungary,MTA,MTA-PE Evolutionary Ecology Group
MRC,Murcia,Spain,MRC,Murcia
OUL,Oulu,Finland,OUL,Oulu
PET,Petrozevodsk,Russia,PET,Petrozevodsk
PEW,Peerdsbos West,Belgium,PEW,Peerdsbos West
RAD,Radofzell,Germany,RAD,Radofzell
REV,Revinge,Sweden,REV,Revinge
SAG,Sagunto,Spain,SAG,Sagunto
SFL,Schopfl,Austria,SFL,Schopfl
SKG,Schiermonnikoog,Netherlands,SKG,Schiermonnikoog
SIL,Silwood,UK,SIL,Silwood
STR,Strasbourg,France,STR,Strasbourg
TOM,Tomakomai,Japan,TOM,Tomakomai
VAL,Valsein,Spain,VAL,Valsein
VOM,Vomb Fure,Sweden,VOM,Vomb Fure
VOS,Vosbergen,Netherlands,VOS,Vosbergen
WRS,Warsaw,Poland,WRS,Warshav
WHV,Wilhelmshaven,Germany,WHV,Wilhelmshaven
WHZ,Westerholtz,Germany,WHZ,Westerholtz
WIL,Wilrijk,Belgium,WIL,Wilrijk
ZVE,Zvenigorod,Russia,ZVE,Zvenigorod
GOT,Gotland,Sweden,GOT,Gotland
DIN,Dinas,UK,PFN,PiedFlyNet
KAT,Loch Katrine,UK,PFN,PiedFlyNet
NAG,Forest of Dean,UK,PFN,PiedFlyNet
OKE,Okehampton,UK,PFN,PiedFlyNet
TEI,Teign Valley,UK,PFN,PiedFlyNet
