NN,SOORT,GB,PL,LD,JAE,AE,AEN,NP,PD,PU,LO,TY,RM,RW,AW,WD,WU,ME,GN,GT,GG,CON,SA,NNN1,NNN2,NNN3,NNBI,NNTRI,VERL,exp,coorx,coory,comm,year,gbpl
1950301,pm,TF,VS113C,26/03/1997,N,10,0,10,0,10,,1,,,,28/04/1997,,TC,,,,,TF,,,,,,,,,,,1997,TFVS113C
1950302,pm,TF,LS207E,7/04/1997,N,7,0,7,0,7,,1,,,,7/05/1997,,TC,,,,,TF,,,,,,,,159730,201780,,1997,TFLS207E
1950303,pm,TF,TL17,19/04/1997,N,9,0,9,0,9,,1,,,,21/05/1997,,FA,,,,,TF,,,,,,,,159979.6058,201430.8404,,1997,TFTL17
1950304,pm,TF,GV51A,21/04/1997,N,5,0,5,0,5,,1,37V73889,39V33441,1,19/05/1997,,FA,,,,,TF,,,,,,,,,,,1997,TFGV51A
1950305,pm,KB,KB97B,16/04/1997,N,8,0,8,0,8,,1,,,,17/05/1997,11,MW,8,,,,FR,,,,,,,,,,,1997,KBKB97B
1950306,pm,KB,KB97A,20/04/1997,N,4,0,4,0,4,,1,,,,17/05/1997,11,MW,4,,,,FR,,,,,,,,,,,1997,KBKB97A
1950307,pm,LO,LO94F,20/04/1994,N,10,0,10,0,10,,1,,,,23/05/1994,11,MW,10,,,,FR,,,,,,,,,,,1994,LOLO94F
1950308,pm,LO,LO94E,21/04/1994,N,9,0,9,0,9,,1,,,,23/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,LOLO94E
1950309,pm,LO,LO94D,22/04/1994,N,8,0,8,0,8,,1,,,,23/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,LOLO94D
1950310,pm,LO,LO94B,9/05/1994,N,5,0,5,0,5,,5,,,,6/06/1994,11,MW,4,,,,FR,,,,,,,,,,,1994,LOLO94B
1950311,pm,LO,LO94C,17/05/1994,N,7,0,7,0,7,,5,,,,16/06/1994,11,MW,5,,,,FR,,,,,,,,,,,1994,LOLO94C
1950312,pm,LO,LO95A,20/04/1995,N,6,0,6,0,6,,1,,,,19/05/1995,11,MW,6,,,,FR,,,,,,,,,,,1995,LOLO95A
1950313,pm,LO,EK3,21/04/1996,N,10,0,10,0,10,,1,,,,24/05/1996,,MW,,,,,FR,,,,,,,,,,,1996,LOEK3
1950314,pm,LO,EK2,27/04/1996,N,4,0,4,0,4,,1,,,,24/05/1996,,MW,,,,,FR,,,,,,,,,,,1996,LOEK2
1950315,pm,RO,HA94A,7/04/1994,N,10,0,10,0,10,,1,,,,10/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,ROHA94A
1950316,pm,RO,HA94B,13/04/1994,N,4,0,4,0,4,,1,,,,10/05/1994,11,MW,4,,,,FR,,,,,,,,,,,1994,ROHA94B
1950317,pm,RO,HA94L,17/04/1994,N,10,0,10,0,10,,1,,,,20/05/1994,11,MW,10,,,,FR,,,,,,,,,,,1994,ROHA94L
1950318,pm,RO,HA94N,18/04/1994,N,9,0,9,0,9,,1,,,,20/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ROHA94N
1950319,pm,RO,HA94M,19/04/1994,N,8,0,8,0,8,,1,,,,20/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,ROHA94M
1950320,pm,RO,HA94O,21/04/1994,N,6,0,6,0,6,,1,,,,20/05/1994,11,MW,5,,,,FR,,,,,,,,,,,1994,ROHA94O
1950321,pm,RO,HA94K,21/04/1994,N,6,0,6,0,6,,1,,,,20/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ROHA94K
1950322,pm,RO,HA95B,9/04/1995,N,9,0,9,0,9,,1,,,,11/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95B
1950323,pm,RO,HA95A,9/04/1995,N,9,0,9,0,9,,1,,,,11/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95A
1950324,pm,RO,HA95C,12/04/1995,N,6,0,6,0,6,,1,,37V6519,1+,11/05/1995,11,MW,6,,,,FR,,,,,,,,,,,1995,ROHA95C
1950325,pm,RO,HA95N,18/04/1995,N,11,0,11,0,11,,1,,,,22/05/1995,11,MW,11,,,,FR,,,,,,,,,,,1995,ROHA95N
1950326,pm,RO,HA95Q,20/04/1995,N,9,0,9,0,9,,1,,,,22/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,ROHA95Q
1950327,pm,RO,HA95M,20/04/1995,N,9,0,9,0,9,,1,,,,22/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,ROHA95M
1950328,pm,RO,HA95P,21/04/1995,N,8,0,8,0,8,,1,,37V6854,1+,22/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,ROHA95P
1950329,pm,RO,HA95L,21/04/1995,N,8,0,8,0,8,,1,,,,22/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95L
1950330,pm,RO,HA95O,26/04/1995,N,3,0,3,0,3,,1,,37V6850,1+,22/05/1995,11,MW,3,,,,FR,,,,,,,,,,,1995,ROHA95O
1950331,pm,RO,HA96D,15/04/1996,N,12,0,12,0,12,,1,,,,20/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96D
1950332,pm,RO,HA96F,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96F
1950333,pm,RO,HA96C,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96C
1950334,pm,RO,HA96A,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96A
1950335,pm,RO,HA96E,19/04/1996,N,8,0,8,0,8,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96E
1950336,pm,RO,HA96B,20/04/1996,N,7,0,7,0,7,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96B
1950337,pm,RO,HA96I,20/04/1996,N,7,0,7,0,7,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96I
1950338,pm,RO,HA96H,21/04/1996,N,6,0,6,0,6,,1,,,,20/05/1996,11,MW,6,,,,FR,,,,,,,,,,,1996,ROHA96H
1950339,pm,RO,HA96G,22/04/1996,N,5,0,5,0,5,,1,,,,20/05/1996,11,MW,5,,,,FR,,,,,,,,,,,1996,ROHA96G
1950340,pm,RO,HA96R,24/04/1996,N,11,0,11,0,11,,1,,,,28/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96R
1950341,pm,RO,HA96P,24/04/1996,N,11,0,11,0,11,,1,,,,28/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96P
1950342,pm,RO,HA96S,28/04/1996,N,7,0,7,0,7,,1,,,,28/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96S
1950343,pm,RO,HA96Q,29/04/1996,N,6,0,6,0,6,,1,,,,28/05/1996,11,MW,6,,,,FR,,,,,,,,,,,1996,ROHA96Q
1950344,pm,RO,HA97M,11/04/1997,N,9,0,9,0,9,,1,,,,13/05/1997,11,MW,9,,,,FR,,,,,,,,,,,1997,ROHA97M
1950345,pm,RO,HA97K,11/04/1997,N,9,0,9,0,9,,1,,,,13/05/1997,11,MW,9,,,,FR,,,,,,,,,,,1997,ROHA97K
1950346,pm,RO,HA97J,11/04/1997,N,9,0,9,0,9,,1,,,,13/05/1997,11,MW,9,,,,FR,,,,,,,,,,,1997,ROHA97J
1950347,pm,RO,HA97N,12/04/1997,N,8,0,8,0,8,,1,,,,13/05/1997,11,MW,8,,,,FR,,,,,,,,,,,1997,ROHA97N
1950348,pm,RO,HA97I,12/04/1997,N,8,0,8,0,8,,1,,,,13/05/1997,11,MW,8,,,,FR,,,,,,,,,,,1997,ROHA97I
1950349,pm,RO,HA97O,13/04/1997,N,7,0,7,0,7,,1,,,,13/05/1997,11,MW,7,,,,FR,,,,,,,,,,,1997,ROHA97O
1950350,pm,RO,HA97L,14/04/1997,N,6,0,6,0,6,,1,,,,13/05/1997,11,MW,6,,,,FR,,,,,,,,,,,1997,ROHA97L
1950351,pm,RO,HA97Q,23/04/1997,N,6,0,6,0,6,,1,,,,22/05/1997,11,MW,6,,,,FR,,,,,,,,,,,1997,ROHA97Q
1950352,pm,RO,HA97P,23/04/1997,N,6,0,6,0,6,,1,,,,22/05/1997,11,MW,6,,,,FR,,,,,,,,,,,1997,ROHA97P
1950354,pm,ZN,ZN94B,18/04/1994,N,8,0,8,0,8,,1,,,,19/05/1994,11,MW,5,,,,FR,,,,,,,,161575,203950,,1994,ZNZN94B
1950355,pm,ZN,ZN94C,20/04/1994,N,6,0,6,0,6,,1,,,,19/05/1994,11,MW,6,,,,FR,,,,,,,,161575,203950,,1994,ZNZN94C
1950356,pm,ZN,ZN94F,1/05/1994,N,8,0,8,0,8,,1,,,,1/06/1994,11,MW,8,,,,FR,,,,,,,,161575,203950,,1994,ZNZN94F
1950357,pm,ZN,TF30,13/04/1995,N,9,0,9,0,9,,1,,,,15/05/1995,11,MW,8,,,,FR,,,,,,,,161635,203960,,1995,ZNTF30
1950358,pm,ZN,TF32,17/04/1995,N,5,0,5,0,5,,1,,,,15/05/1995,11,MW,4,,,,FR,,,,,,,,161530,203930,,1995,ZNTF32
1950359,pm,TF,ZB67PO,14/04/1996,N,6,0,6,0,6,,1,36V82683,,,18/05/1996,,TC,,,,,TF,,,,,,,,161360,203720,,1996,TFZB67PO
1950360,pm,TF,LWSSC1,16/04/1996,N,8,0,8,0,8,,1,37V72519,,,18/05/1996,,TC,,,,,TF,,,,,,,,160150,203610,,1996,TFLWSSC1
1950361,pm,TF,LH48A,17/04/1996,N,8,0,8,0,8,,1,,,,18/05/1996,11,MW,7,,,,TF,,,,,,,,159730,202380,,1996,TFLH48A
1950362,pm,TF,BH305A,19/04/1996,N,9,0,9,0,9,,1,,,,22/05/1996,,TC,,,,,TF,,,,,,,,160625,202830,,1996,TFBH305A
1950363,pm,TF,BH332,19/04/1996,N,9,0,9,0,9,,1,,,,22/05/1996,,TC,,,,,TF,,,,,,,,160941.6557,202590.14,,1996,TFBH332
1950364,pm,TF,BH234A,22/04/1996,N,7,0,7,0,7,,1,,36V56498,1,26/05/1996,,FA,,,,,TF,,,,,,,,160090,203410,,1996,TFBH234A
1950365,pm,ZN,TF25,25/04/1996,N,7,0,7,0,7,,1,36V57108,36V81435,1,25/05/1996,,MW,,,,,FR,,,,,,,,161575,203905,,1996,ZNTF25
1950366,pm,TF,LWSSC2,26/04/1996,N,8,0,8,0,8,,1,4488526,,,1/06/1996,,TC,,,,,TF,,,,,,,,160180,203600,,1996,TFLWSSC2
1950367,pm,TF,LH148C,4/05/1996,N,5,0,5,0,5,,1,,,,1/06/1996,11,MW,5,,,,TF,,,,,,,,159930,202390,,1996,TFLH148C
1950368,pm,ZN,TF31,23/05/1996,N,5,0,5,5,0,,9,,34V72762,3,20/06/1996,,MW,,,,,FR,,1996621,,,,,,161530,203970,,1996,ZNTF31
1950369,pm,TF,LS217D,28/03/1997,N,7,0,7,0,7,,1,,,,28/04/1997,,TC,,,,,TF,,,,,,,,159830,201860,,1997,TFLS217D
1950370,pm,TF,LH178A,29/03/1997,N,11,0,11,0,11,,1,5573720,37V91446,1,7/05/1997,,TC,,,,,TF,,,,,,,,160140,202650,,1997,TFLH178A
1950371,pm,TF,LWSSC4,1/04/1997,N,9,0,9,0,9,,1,4488526,,,4/05/1997,,TC,,,,,TF,,,,,,,,160200,203590,,1997,TFLWSSC4
1950372,pm,TF,BH329A,3/04/1997,N,10,0,10,0,10,,1,36V14004,36V56495,2,7/05/1997,,TC,,,,,TF,,,,,,,,160900,202660,,1997,TFBH329A
1950373,pm,TF,LS217I,3/04/1997,N,10,0,10,0,10,,1,,,,7/05/1997,,TC,,,,,TF,,,,,,,,159800,201900,,1997,TFLS217I
1950374,pm,TF,BH305A,5/04/1997,N,8,0,8,0,8,,1,37V72529,38V92560,2+,7/05/1997,,FA,,,,,TF,,,,,,,,160625,202830,,1997,TFBH305A
1950375,pm,TF,LH48A,6/04/1997,N,10,0,10,0,10,,1,,,,9/05/1997,11,MW,10,,,,TF,,,,,,,,159730,202380,rw=ONGERING,1997,TFLH48A
1950377,pm,TF,BH257S,7/04/1997,N,8,0,8,0,8,,1,34V72707,,,9/05/1997,,TC,,,,,TF,,,,,,,,160150,203250,rw=ONGERING,1997,TFBH257S
1950378,pm,TF,ZB67PO,7/04/1997,N,6,0,6,0,6,,1,,36V82405,3,7/05/1997,,TC,,,,,TF,,,,,,,,161360,203720,,1997,TFZB67PO
1950379,pm,TF,LH148C,9/04/1997,N,7,0,7,0,7,,1,37V72720,37V73076,1,9/05/1997,11,MW,7,,,,TF,,,,,,,,159930,202390,,1997,TFLH148C
1950380,pm,TF,BH234A,11/04/1997,N,10,0,10,0,10,,1,37V72608,36V56498,2,19/05/1997,,FA,,,,,TF,,,,,,,,160090,203410,,1997,TFBH234A
1950381,pm,TF,LS271A,13/04/1997,N,8,0,8,0,8,,1,39V33273,39V33272,1,19/05/1997,,FA,,,,,TF,,,,,,,,160207,201804,,1997,TFLS271A
1950382,pm,TF,HV34A,14/04/1997,N,8,0,8,0,8,,1,,,,21/05/1997,,FA,,,,,TF,,,,,,,,160190,201390,,1997,TFHV34A
1950383,pm,TF,BH198A,17/04/1997,N,8,0,8,0,8,,1,,,,19/05/1997,,FA,,,,,TF,,,,,,,,159880,203900,,1997,TFBH198A
1950384,pm,TF,BH332,19/04/1997,N,8,0,8,0,8,,1,37V6526,,,24/05/1997,,FA,,,,,TF,,,,,,,,160941.6557,202590.14,,1997,TFBH332
1950386,pm,TF,LS350D,29/04/1997,N,2,2,0,0,0,,3,,38V92056,1,,,,,,,,TF,1997549,,,,,B,,160730,201970,"EI BEBROED,VERVOLG LO 37",1997,TFLS350D
1950387,pm,TU,TU94B,6/04/1994,N,11,0,11,0,11,,1,,,,10/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,TUTU94B
1950388,pm,TU,TU94S,7/04/1994,N,10,0,10,0,10,,1,,,,10/05/1994,11,MW,10,,,,FR,,,,,,,,,,,1994,TUTU94S
1950389,pm,TU,TU94T,8/04/1994,N,9,0,9,0,9,,1,,,,10/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,TUTU94T
1950390,pm,TU,TU94U,8/04/1994,N,9,0,9,0,9,,1,,,,10/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,TUTU94U
1950391,pm,TU,TU94A,8/04/1994,N,9,0,9,0,9,,1,,,,10/05/1994,11,MW,5,,,,FR,,,,,,,,,,,1994,TUTU94A
1950392,pm,TU,TU94R,9/04/1994,N,8,0,8,0,8,,1,,,,10/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,TUTU94R
1950393,pm,TU,TU94H,14/04/1994,N,11,0,11,0,11,,1,,,,18/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,TUTU94H
1950394,pm,TU,TU94I,15/04/1994,N,10,0,10,0,10,,1,,,,18/05/1994,11,MW,7,,,,FR,,,,,,,,,,,1994,TUTU94I
1950395,pm,TU,TU94J,16/04/1994,N,9,0,9,0,9,,1,,,,18/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,TUTU94J
1950396,pm,TU,TU94Y,16/04/1994,N,9,0,9,0,9,,1,,,,18/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,TUTU94Y
1950397,pm,TU,TU94L,16/04/1994,N,9,0,9,0,9,,1,,,,18/05/1994,11,MW,7,,,,FR,,,,,,,,,,,1994,TUTU94L
1950398,pm,TU,TU94K,16/04/1994,N,9,0,9,0,9,,1,,,,18/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,TUTU94K
1950399,pm,TU,TU94G,16/04/1994,N,9,0,9,0,9,,1,,,,18/05/1994,11,MW,7,,,,FR,,,,,,,,,,,1994,TUTU94G
1950400,pm,TU,TU94V,17/04/1994,N,8,0,8,0,8,,1,,,,18/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,TUTU94V
1950401,pm,TU,TU94CC,25/04/1994,N,8,0,8,0,8,,1,,,,26/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,TUTU94CC
1950402,pm,TU,TU94N,25/05/1994,N,4,0,4,0,4,,5,,,,21/06/1994,11,MW,2,,,,FR,,,,,,,,,,,1994,TUTU94N
1950403,pm,TU,TU94EE,26/05/1994,N,3,0,3,0,3,,5,,,,21/06/1994,11,MW,3,,,,FR,,,,,,,,,,,1994,TUTU94EE
1950404,pm,TU,TU95C,6/04/1995,N,10,0,10,0,10,,1,,,,9/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95C
1950405,pm,TU,TU95A,6/04/1995,N,10,0,10,0,10,,1,,,,9/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,TUTU95A
1950406,pm,TU,TU95B,7/04/1995,N,9,0,9,0,9,,1,,,,9/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95B
1950407,pm,TU,TU95U,7/04/1995,N,9,0,9,0,9,,1,,,,9/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,TUTU95U
1950408,pm,TU,TU95L,15/04/1995,N,12,0,12,0,12,,1,,,,20/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,TUTU95L
1950409,pm,TU,TU95V,17/04/1995,N,10,0,10,0,10,,1,,,,20/05/1995,11,MW,10,,,,FR,,,,,,,,,,,1995,TUTU95V
1950410,pm,TU,TU95P,18/04/1995,N,9,0,9,0,9,,1,,,,20/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95P
1950411,pm,TU,TU95W,18/04/1995,N,9,0,9,0,9,,1,,,,20/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,TUTU95W
1950412,pm,TU,TU95M,19/04/1995,N,8,0,8,0,8,,1,,,,20/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95M
1950413,pm,TU,TU95O,19/04/1995,N,8,0,8,0,8,,1,,,,20/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95O
1950414,pm,TU,TU95N,19/04/1995,N,8,0,8,0,8,,1,,,,20/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,TUTU95N
1950415,pm,TU,TU95Q,20/04/1995,N,7,0,7,0,7,,1,,,,20/05/1995,11,MW,1,,,,FR,,,,,,,,,,,1995,TUTU95Q
1950416,pm,TU,TU95K,20/04/1995,N,7,0,7,0,7,,1,,,,20/05/1995,11,MW,5,,,,FR,,,,,,,,,,,1995,TUTU95K
1950417,pm,TU,TU95J,23/04/1995,N,4,0,4,0,4,,1,,,,20/05/1995,11,MW,2,,,,FR,,,,,,,,,,,1995,TUTU95J
1950418,pm,TU,TU95AA,2/06/1995,N,1,0,1,0,1,,5,,,,26/06/1995,11,MW,1,,,,FR,,,,,,,,,,,1995,TUTU95AA
1950419,pm,VS,VS95A,18/04/1995,N,8,0,8,0,8,,1,,,,19/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,VSVS95A
1950420,pm,ZZ,ZZ94C,20/04/1994,N,8,0,8,0,8,,1,,,,21/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,ZZZZ94C
1950421,pm,ZZ,ZZ94B,22/04/1994,N,6,0,6,0,6,,1,,,,21/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ZZZZ94B
1950422,pm,ZZ,ZZ94A,22/04/1994,N,6,0,6,0,6,,1,,,,21/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ZZZZ94A
1950423,pm,ZZ,ZZ94D,26/05/1994,N,3,0,3,0,3,,5,,,,21/06/1994,11,MW,3,,,,FR,,,,,,,,,,,1994,ZZZZ94D
1979301,pm,B,3,19/04/1979,J,10,0,10,0,8,,1,7V83996,7V83909,1,31/05/1979,9.3,AD,8,17.875,16.8625,0.943356643,PB,,1979326,,,,,,158242,217865,,1979,B3
1979302,pm,B,113,20/04/1979,J,10,0,10,0,10,,1,7V84121,7V83998,1,3/06/1979,14.1,AD,10,18.515,16.98,0.917094248,PB,,1979320,,,,,,158307,217956,,1979,B113
1979304,pm,B,101,25/04/1979,N,10,0,10,0,10,,1,7V83910,7V84122,1,3/06/1979,13.4,AD,10,17.4,17.37,0.998275862,PB,,1979322,,,,,,158272,218074,,1979,B101
1979305,pm,B,76,29/04/1979,J,8,0,8,0,8,,1,7V84124,7V83997,2+,3/06/1979,12.55,AD,8,17.6875,17.75,1.003533569,PB,,1979324,,,,,,158290,218295,,1979,B76
1979306,pm,B,41,1/05/1979,J,9,5,4,0,3,,1,7V84073,7V84053,2+,8/06/1979,12,AD,3,16.95,17.53333333,1.034414946,PB,,1979321,,,,,,158359,218042,,1979,B41
1979307,pm,B,59,1/05/1979,J,11,0,11,0,11,,1,7V84055,,,6/06/1979,11,AD,11,17.92727273,17.69090909,0.986815416,PB,,,,,,,,158427,218215,,1979,B59
1979308,pm,B,19,1/05/1979,J,10,0,10,0,10,,1,7V84120,7V83901,1,5/06/1979,15.2,AD,10,17.985,18.32,1.018626633,PB,,1979325,,,,,,158389,217875,,1979,B19
1979309,pm,B,47,2/05/1979,J,6,0,6,0,6,,1,7V83903,,,6/06/1979,11.45,AD,6,17.55833333,16.28333333,0.927384907,PB,,1979323,,,,,,158389,218078,,1979,B47
1979310,pm,B,78,3/05/1979,N,12,1,11,0,11,4,1,7V84080,7V84054,2+,13/06/1979,9.3,AD,11,17.51818182,17.2,0.981837052,PB,,,,,,,,158235,218285,,1979,B78
1979311,pm,B,95,3/05/1979,J,8,0,8,0,7,4,1,19V55571,,,11/06/1979,11.05,AD,7,17.63571429,17.6,0.997974889,PB,,,,,,,,158235,218101,,1979,B95
1979312,pm,B,55,3/05/1979,J,9,0,9,0,9,2,1,7V84079,7V83904,1,11/06/1979,10.25,AD,9,17.83888889,16.26666667,0.911865462,PB,,,,,,,,158410,218142,,1979,B55
1979313,pm,B,87,7/05/1979,N,10,0,10,0,9,,1,7V84077,,,11/06/1979,10,AD,9,17.90555556,17.38888889,0.971144896,PB,,,,,,,,158229,218158,rw=ONGERING,1979,B87
1979314,pm,B,103,9/05/1979,J,7,0,7,0,7,,1,,19V55549,1,11/06/1979,9.3,AD,7,18.23571429,18.44285714,1.011359185,PB,,,,,,,,158233,218031,,1979,B103
1979315,pm,B,79,10/05/1979,N,10,0,10,0,10,,1,7V84081,7V84082,1,18/06/1979,10.05,AD,10,17.575,16.95,0.964438122,PB,,,,,,,,158231,218242,,1979,B79
1979316,pm,B,72,10/05/1979,N,9,1,8,0,8,,1,7V84078,16V17235,2,13/06/1979,10,AD,8,17.675,18.4625,1.044554455,PB,,,,,,,,158415,218326,,1979,B72
1979317,pm,B,91,11/05/1979,N,12,0,12,0,12,,1,7V83908,7V83907,1,18/06/1979,9.35,AD,12,17.6625,16.45833333,0.931823543,PB,,,,,,,,158342,218146,,1979,B91
1979318,pm,B,109,11/05/1979,J,9,1,8,0,8,,1,19V55613,10V21627,5+,14/06/1979,14,AD,8,18.1375,17.6125,0.971054445,PB,,,,,,,,158275,217986,,1979,B109
1979319,pm,B,37,17/05/1979,N,11,2,9,7,2,,9,17V56677,17V96085,1,22/06/1979,17,AD,2,18.3,13.35,0.729508197,PB,,,,,,,,158444,217999,,1979,B37
1979320,pm,B,9,5/06/1979,J,8,0,8,1,5,,2,7V84121,7V83998,1,7/07/1979,20.15,AD,5,16.97,15.12,0.89098409,PB,1979302,,,,,,,158295,217850,2E BROEDSEL B 113,1979,B9
1979321,pm,B,107,5/06/1979,J,8,0,8,4,0,,2,,7V84053,2+,,,,,,,,PB,1979306,,,,,P,,158328,217991,"P DOOD 14D,2E BROED B 41",1979,B107
1979322,pm,B,105,6/06/1979,J,6,0,6,0,6,,2,7V83910,7V84122,1,7/07/1979,20.3,AD,5,17.15,14.04,0.818658892,PB,1979304,,,,,,,158307,218026,2E BROEDSEL B 101,1979,B105
1979323,pm,B,43,6/06/1979,N,7,0,7,1,4,,2,7V83903,19V55699,1,10/07/1979,12.4,AD,4,17.3125,14.25,0.823104693,PB,1979309,,,,,,,158420,218037,2E BROEDSEL B 47,1979,B43
1979324,pm,B,81,6/06/1979,N,8,0,8,0,6,,2,7V84124,7V83997,2+,7/07/1979,20.45,AD,6,17.98333333,17.4,0.967562558,PB,1979305,,,,,,,158312,218254,2E BROEDSEL B 76,1979,B81
1979325,pm,B,21,7/06/1979,J,6,0,6,1,4,,2,7V84120,7V83901,1,10/07/1979,12,AD,4,17.9625,13.95,0.776617954,PB,1979308,,,,,,,158423,217912,2E BROEDSEL B 19,1979,B21
1979326,pm,B,3,9/06/1979,N,7,1,6,2,4,,2,7V83996,7V83909,1,7/07/1979,20,AD,4,17.875,15.4,0.861538462,PB,1979301,,,,,,,158242,217865,2E BROEDSEL B 3,1979,B3
1979327,pm,C,74,20/04/1979,J,11,0,11,0,11,,1,7V83913,7V83914,2+,29/05/1979,15,AD,11,17.08181818,14.08181818,0.824374667,PB,,,,,,,,157717,215433,,1979,C74
1979328,pm,C,93,20/04/1979,J,7,0,7,0,7,,1,7V83929,7V83931,2+,29/05/1979,13.4,AD,7,18.2,18.11428571,0.995290424,PB,,,,,,,,157377,215233,,1979,C93
1979329,pm,C,18,22/04/1979,J,9,1,8,0,8,,1,7V83928,7V83932,2+,31/05/1979,14.3,AD,8,17.38125,16.025,0.921970514,PB,,,,,,,,157117,215184,,1979,C18
1979330,pm,C,47,23/04/1979,J,8,1,7,0,7,2,1,7V83927,7V83926,1,29/05/1979,14,AD,7,17.66428571,17.11428571,0.968863728,PB,,,,,,,,157122,215331,,1979,C47
1979334,pm,C,29,25/04/1979,N,9,2,7,2,5,9,1,7V84030,7V84075,1,8/06/1979,14.45,AD,5,17.23,15.04,0.872896111,PB,,,,,,,,156970,215261,,1979,C29
1979335,pm,C,85,28/04/1979,J,8,0,8,0,8,,1,7V84125,,,2/06/1979,13.2,AD,8,17.6875,17.075,0.965371025,PB,,,,,,,,157537,215320,,1979,C85
1979336,pm,C,40,28/04/1979,J,7,0,7,0,7,4,1,7V84010,7V84009,1,3/06/1979,10.45,AD,7,18.44285714,17.92857143,0.97211464,PB,,,,,,,,157033,215329,,1979,C40
1979337,pm,C,98,29/04/1979,J,11,0,11,0,11,,1,7V84029,7V84031,1,5/06/1979,14.35,AD,11,17.43181818,16.38181818,0.939765319,PB,,,,,,,,157441,215391,,1979,C98
1979339,pm,C,63,10/05/1979,N,7,0,7,0,7,,3,7V84074,,,11/06/1979,15,AD,7,18.07142857,15.72857143,0.870355731,PB,1979333,,,,,,,157440,215467,VERVOLGLEGSEL C 63,1979,C63
1979340,pm,C,76,16/05/1979,N,8,1,7,0,7,,3,7V84084,7V84083,2+,18/06/1979,13.3,AD,7,16.85,15.01428571,0.891055532,PB,1979331,,,,,,,157688,215374,VERVOLGLEGSEL C 79,1979,C76
1979341,pm,T,52,17/04/1979,J,11,0,11,0,11,,1,7V83935,7V83934,1,30/05/1979,15,AD,11,16.65909091,14.60909091,0.876944065,PB,,1979363,,,,,,157220,217995,,1979,T52
1979342,pm,T,8,18/04/1979,J,9,0,9,0,6,,1,,7V83938,2,1/06/1979,9.5,AD,6,16.53333333,16.66666667,1.008064516,PB,,1979360,,,,,,157428,218312,,1979,T8
1979343,pm,T,6,18/04/1979,J,7,0,7,0,6,,1,7V83939,7V83930,2+,29/05/1979,10.2,AD,6,17.13333333,16.78333333,0.979571984,PB,,1979359,,,,,,157371,218325,,1979,T6
