GBPL,YEARFIRST,YEARLAST,X,Y,PL,GB,SA,TYPE,Y_deg,X_deg
KB6,1993,,160550,202715,6,KB,FR,pm,51.1343942,4.519482647
KB60,1993,,160638,202488,60,KB,FR,pm,51.13235216,4.520733217
KB61,1993,,160659,202502,61,KB,FR,pm,51.13247761,4.521033637
KB62,1993,,160684,202535,62,KB,FR,pc,51.13277377,4.521391764
KB63,1993,,160733,202504,63,KB,FR,pm,51.13249421,4.522090872
KB64,1993,,160735,202528,64,KB,FR,pc,51.1327099,4.522120155
KB65,1993,,160707,202548,65,KB,FR,pm,51.1328902,4.521720732
KB66,1993,,160684,202586,66,KB,FR,pm,51.13323219,4.521393267
KB67,1993,,160675,202607,67,KB,FR,pc,51.13342112,4.521265308
KB68,1993,,160654,202598,68,KB,FR,pm,51.13334061,4.520965028
KB69,1993,,160627,202573,69,KB,FR,pm,51.13311639,4.520578562
KB7,1993,,160536,202723,7,KB,FR,pm,51.13446636,4.519282865
KB70,1993,,160613,202551,70,KB,FR,pm,51.1329189,4.520377909
KB71,1993,,160599,202538,71,KB,FR,pc,51.13280231,4.520177521
KB72,1993,,160573,202522,72,KB,FR,pm,51.13265897,4.519805612
KB73,1993,,160555,202493,73,KB,FR,pm,51.13239863,4.519547615
KB73BIS,,,160551,202501,73BIS,KB,FR,pm,51.13247061,4.519490704
KB74,1993,,160528,202468,74,KB,FR,pm,51.1321744,4.519161164
KB75,1993,,160511,202457,75,KB,FR,pc,51.13207584,4.518917982
KB76,1993,,160415,202388,76,KB,FR,pm,51.13145736,4.51754454
KB77,1993,,160425,202374,77,KB,FR,pc,51.13133134,4.517686996
KB78,1993,,160445,202378,78,KB,FR,pm,51.13136694,4.517972827
KB79,1993,,160469,202379,79,KB,FR,pm,51.13137549,4.518315716
KB8,1993,,160517,202740,8,KB,FR,pc,51.13461951,4.51901191
KB80,1993,,160489,202382,80,KB,FR,pc,51.13140209,4.518601519
KB81,1993,,160502,202392,81,KB,FR,pm,51.13149174,4.518787524
KB82,1993,,160524,202399,82,KB,FR,pm,51.13155426,4.519102016
KB83,1993,,160543,202396,83,KB,FR,pc,51.13152695,4.51937336
KB84,1993,,160562,202400,84,KB,FR,pm,51.13156255,4.519644908
KB85,1993,,160574,202404,85,KB,FR,pm,51.13159829,4.519816456
KB86,1993,,160589,202415,86,KB,FR,pc,51.13169689,4.520031065
KB87,,,160609,202417,87,KB,FR,,51.1317145,4.520316842
KB88,1993,,160622,202422,88,KB,FR,pm,51.1317592,4.520502705
KB89,1993,,160640,202418,89,KB,FR,pc,51.13172291,4.520759735
KB9,1993,,160507,202727,9,KB,FR,pm,51.13450284,4.518868665
KB90,1993,,160645,202443,90,KB,FR,pm,51.13194754,4.520831899
KB91,1994,,160694,202498,91,KB,FR,pm,51.13244101,4.521533535
KB92,1996,,160471,202651,92,KB,FR,pm,51.13382036,4.518352145
KBA01,2000,2001,160524,202693,A01,KB,FR,pm,,
KBA02,2000,2001,160543,202694,A02,KB,FR,pc,,
KBA03,2000,2001,160557,202686,A03,KB,FR,pm,,
KBA06,2000,2001,160535,202619,A06,KB,FR,pc,,
KBA07,2000,2001,160518,202600,A07,KB,FR,pm,,
KBA08,2000,2001,160533,202558,A08,KB,FR,pm,,
KBA10,2000,2001,160575,202586,A10,KB,FR,pc,,
KBA11,2000,2001,160593,202602,A11,KB,FR,pm,,
KBA12,2000,2001,160601,202623,A12,KB,FR,pm,,
KBA13,2000,2001,160623,202604,A13,KB,FR,pm,,
KBA14,2000,2001,160604,202583,A14,KB,FR,pc,,
KBA15,2000,2001,160584,202564,A15,KB,FR,pm,,
KBA16,2000,2001,160566,202551,A16,KB,FR,pc,,
KBA17,2000,2001,160546,202539,A17,KB,FR,pm,,
KBA18,2000,2001,160668,202567,A18,KB,FR,pm,,
KBA19,2000,2001,160659,202545,A19,KB,FR,pc,,
KBA20,2000,2001,160640,202527,A20,KB,FR,pm,,
KBA21,2000,2001,160606,202512,A21,KB,FR,pm,,
KBA22,2000,2001,160569,202467,A22,KB,FR,pm,,
KBA23,2000,2001,160599,202466,A23,KB,FR,pm,,
KBA24,2000,2001,160714,202515,A24,KB,FR,pm,,
KBA25,2000,2001,160715,202487,A25,KB,FR,pc,,
KBA26,2000,2001,160665,202479,A26,KB,FR,pc,,
KBA27,2000,2001,160594,202438,A27,KB,FR,pm,,
KBA28,2000,2001,160566,202432,A28,KB,FR,pc,,
KBA29,2000,2001,160634,202381,A29,KB,FR,pm,,
KBA30,2000,2001,160601,202366,A30,KB,FR,pc,,
KBA31,2000,2001,160574,202376,A31,KB,FR,pm,,
KBB01,2003,2004,160493.8705,202638.8372,B01,KB,FR,pm,,
KBB02,2003,2004,160499.0923,202608.8437,B02,KB,FR,pc,,
KBB03,2003,2004,160504.2372,202577.7903,B03,KB,FR,pm,,
KBB04,2003,2004,160470.0106,202574.0687,B04,KB,FR,pc,,
KBB05,2003,2004,160461.8323,202599.9413,B05,KB,FR,pm,,
KBB06,2003,2004,160454.0724,202625.0632,B06,KB,FR,pm,,
KBB07,2003,2004,160436.2844,202593.7872,B07,KB,FR,pm,,
KBB08,2003,2004,160402.2529,202572.7939,B08,KB,FR,pm,,
KBB09,2003,2004,160367.8679,202570.6339,B09,KB,FR,pc,,
KBB10,2003,2004,160372.3721,202609.2971,B10,KB,FR,pm,,
KBB11,2003,2004,160396.4802,202609.3774,B11,KB,FR,pc,,
KBB12,2003,2004,160396.2486,202635.012,B12,KB,FR,pm,,
KBB13,2003,2004,160366.4074,202637.2692,B13,KB,FR,pm,,
KBB14,2003,2004,160364.8615,202663.6259,B14,KB,FR,pm,,
KBB15,2003,2004,160395.9409,202658.7496,B15,KB,FR,pm,,
KBB16,2003,2004,160373.3016,202543.09,B16,KB,FR,pm,,
KBB17,2003,2004,160407.2375,202547.2122,B17,KB,FR,pm,,
KBB18,2003,2004,160412.0375,202486.1894,B18,KB,FR,pm,,
KBB19,2003,2004,160389.0848,202512.1217,B19,KB,FR,pm,,
KBB20,2003,2004,160454.475,202451.7066,B20,KB,FR,pc,,
KBB21,2003,2004,160469.6688,202478.9585,B21,KB,FR,pm,,
KBB22,2003,2004,160464.2931,202503.3792,B22,KB,FR,pc,,
KBB23,2003,2004,160493.2423,202508.4273,B23,KB,FR,pc,,
KBB24,2003,2004,160501.5144,202483.2273,B24,KB,FR,pm,,
KBB25,2003,2004,160479.1353,202456.3427,B25,KB,FR,pm,,
KBB26,2003,2004,160535.3476,202426.3366,B26,KB,FR,pm,,
KBB27,2003,2004,160504.3041,202419.8129,B27,KB,FR,pc,,
KBB28,2003,2004,160473.2221,202415.6496,B28,KB,FR,pm,,
KBB29,2003,2004,160443.3617,202412.042,B29,KB,FR,pc,,
KBB30,2003,2004,160539.2002,202378.8228,B30,KB,FR,pc,,
KBB31,2003,2004,160507.5016,202374.436,B31,KB,FR,pm,,
KBCB3,,,160440,202512,CB3,KB,FR,cb,51.1325715,4.517905258
KBF1,,,160642.1687,202430.0537,F1,KB,FR,,,
KBF2,,,160412.0223,202493.2311,F2,KB,FR,,,
KBF3,,,160560.9405,202669.2254,F3,KB,FR,,,
KBFD6,,,160570,202705,FD6,KB,FR,,,
KBKB20,,,160345.511,202566.063,KB20,KB,FR,,,
KBPMO34,,,160461,202581,PMO34,KB,FR,PMO,,
KBPMO79,,,160469,202379,PMO79,KB,FR,,,
KF1,,,158069,218034,F1,K,PB,,,
KL000,2006,2010,161111.1349,201662.6995,000,KL,FR,,,
KL1,1993,,161062,201579,1,KL,FR,pm,51.12417348,4.526762788
KL10,1993,,161099,201731,10,KL,FR,pm,51.12553905,4.527295936
KL11,1993,,161113,201717,11,KL,FR,pc,51.12541294,4.527495483
KL12,1993,,161127,201697,12,KL,FR,pm,51.12523289,4.527694845
KL13,1993,,161130,201677,13,KL,FR,pm,51.12505306,4.527737083
KL14,1993,,161115,201659,14,KL,FR,pc,51.12489155,4.527522273
KL15,1993,,161097,201638,15,KL,FR,pm,51.12470314,4.527264521
KL2,1993,,161068,201601,2,KL,FR,pc,51.12437111,4.526849161
KL3,1993,,161077,201619,3,KL,FR,pm,51.12453274,4.526978265
KL4,1993,,161080,201641,4,KL,FR,pm,51.12473043,4.527021788
KL5,1993,,161060,201653,5,KL,FR,pc,51.12483868,4.526736479
KL6,1993,,161072,201674,6,KL,FR,pm,51.12502721,4.526908526
KL7,1993,,161054,201681,7,KL,FR,pm,51.12509048,4.52665163
KL8,1993,,161060,201700,8,KL,FR,pc,51.12526115,4.526737913
KL9,1993,,161080,201723,9,KL,FR,pm,51.1254675,4.527024295
KLCB3,,,161121.293,201674.595,CB3,KL,FR,cb,51.12546944,4.527609949
KLF1,,,161110.3662,201652.6534,F1,KL,FR,,,
KLMW40,,,161080,201685,MW40,KL,FR,,,
KO13,,,158074,218044,O13,K,PB,,,
L1,1980,1988,157296,217919,1,L,PB,pm,,
L10,1980,1988,157110,217801,10,L,PB,pm,,
L11,1980,1988,157073,217814,11,L,PB,pm,,
L12,1980,1988,157043,217792,12,L,PB,pm,,
L13,1980,1988,157077,217791,13,L,PB,pm,,
L14,1980,1988,157076,217753,14,L,PB,pm,,
L15,1980,1988,157043,217759,15,L,PB,pm,,
L16,1980,1988,157017,217737,16,L,PB,pm,,
L17,1980,1988,157009,217771,17,L,PB,pm,,
L18,1980,1988,156980,217747,18,L,PB,pm,,
L19,1980,1988,156954,217746,19,L,PB,pm,,
L2,1980,1988,157269,217901,2,L,PB,pm,,
L20,1980,1988,156932,217716,20,L,PB,pm,,
L21,1980,1988,156899,217704,21,L,PB,pm,,
L22,1980,1988,156955,217671,22,L,PB,pm,,
L23,1980,1988,156998,217701,23,L,PB,pm,,
L24,1980,1988,157042,217685,24,L,PB,pm,,
L25,1980,1988,157073,217721,25,L,PB,pm,,
L26,1980,1988,157092,217697,26,L,PB,pm,,
L27,1980,1988,157147,217694,27,L,PB,pm,,
L28,1980,1988,157148,217726,28,L,PB,pm,,
L29,1980,1988,157136,217748,29,L,PB,pm,,
L3,1980,1988,157232,217909,3,L,PB,pm,,
L30,1980,1988,157174,217762,30,L,PB,pm,,
L31,1980,1988,157203,217764,31,L,PB,pm,,
L32,1980,1988,157243,217817,32,L,PB,pm,,
L33,1980,1988,157292,217835,33,L,PB,pm,,
L34,1980,1988,157345,217804,34,L,PB,pm,,
L35,1980,1988,157375,217818,35,L,PB,pm,,
L36,1980,1988,157387,217848,36,L,PB,pm,,
L37,1980,1988,157349,217863,37,L,PB,pm,,
L38,1980,1988,157353,217837,38,L,PB,pm,,
L39,1980,1988,157311,217861,39,L,PB,pm,,
L4,1980,1988,157245,217869,4,L,PB,pm,,
L40,1980,1988,157312,217895,40,L,PB,pm,,
L41,1980,1988,157352,217908,41,L,PB,pm,,
L42,1980,1988,157381,217895,42,L,PB,pm,,
L43,1980,1988,157429,217882,43,L,PB,pm,,
L44,1980,1988,157426,217854,44,L,PB,pm,,
L45,1980,1988,157468,217862,45,L,PB,pm,,
L46,1980,1988,157473,217835,46,L,PB,pm,,
L47,1980,1988,157450,217814,47,L,PB,pm,,
L48,1980,1988,157420,217829,48,L,PB,pm,,
L49,1980,1988,157397,217801,49,L,PB,pm,,
L5,1980,1988,157207,217875,5,L,PB,pm,,
L50,1980,1988,157392,217773,50,L,PB,pm,,
L51,1980,1988,157340,217762,51,L,PB,pm,,
L52,1980,1988,157297,217780,52,L,PB,pm,,
L53,1980,1988,157254,217779,53,L,PB,pm,,
L6,1980,1988,157211,217837,6,L,PB,pm,,
L7,1980,1988,157170,217844,7,L,PB,pm,,
L8,1980,1988,157150,217823,8,L,PB,pm,,
L9,1980,1988,157121,217831,9,L,PB,pm,,
LC1,2000,2003,160634,201435,1,LC,FR,pm,,
LC2,2000,2005,160607,201442,2,LC,FR,pm,,
LC3,2000,2003,160592,201393,3,LC,FR,pm,,
LC4,2000,2005,160611,201403,4,LC,FR,pm,,
LC5,2000,2003,160645,201396,5,LC,FR,pm,,
LC6,2000,2003,160625,201349,6,LC,FR,pm,,
LC7,2000,2005,160663,201343,7,LC,FR,pm,,
LC8,2000,2003,160675,201313,8,LC,FR,pm,,
LH000,2006,2010,159975.8378,202606.1898,000,LH,FR,,,
LH1,2000,2003,160282,202576,1,LH,FR,pm,,
LH10,2000,2003,160041,202510,10,LH,FR,pm,,
LH11,2000,2003,160009,202526,11,LH,FR,pm,,
LH12,2000,2003,159981,202551,12,LH,FR,pm,,
LH13,2000,2005,159928,202558,13,LH,FR,pm,,
LH14,2000,2003,159908,202526,14,LH,FR,pm,,
LH15,2000,2005,159892,202495,15,LH,FR,pm,,
LH2,2000,2005,160298,202601,2,LH,FR,pm,,
LH3,2000,2005,160306,202626,3,LH,FR,pm,,
LH4,2000,2005,160294,202657,4,LH,FR,pm,,
LH5,2000,2003,160127,202571,5,LH,FR,pm,,
LH6,2000,2003,160103,202522,6,LH,FR,pm,,
LH7,2000,2003,160079,202601,7,LH,FR,pm,,
LH8,2000,2003,160007,202584,8,LH,FR,pm,,
LH9,2000,2005,159962,202593,9,LH,FR,pm,,
LHF1,,,160010.3943,202590.2536,F1,LH,FR,,,
LHF2,,,159708.0452,202626.355,F2,LH,FR,,,
LHF3,,,159726.0959,202748.1972,F3,LH,FR,,,
LHLHPT,,,159975.8,202606.2,LHPT,LH,FR,,,
LO000,2006,2010,160763.2285,201603.5121,000,LO,FR,,,
LO1,1993,,160917,201682,1,LO,FR,pm,51.12510208,4.524694767
LO10,1993,,160816,201538,10,LO,FR,pc,51.12380961,4.523247797
LO11,1993,,160796,201521,11,LO,FR,pm,51.12365718,4.52296162
LO12,1993,,160780,201504,12,LO,FR,pm,51.12350467,4.522732579
LO13,1993,,160763,201489,13,LO,FR,pc,51.12337016,4.522489316
LO14,1993,,160743,201536,14,LO,FR,pm,51.123793,4.522205042
LO15,1993,,160756,201550,15,LO,FR,pm,51.1239186,4.522391143
LO16,1993,,160770,201556,16,LO,FR,pc,51.12397227,4.522591291
LO17,1993,,160783,201578,17,LO,FR,pm,51.12416978,4.522777631
LO18,1993,,160809,201600,18,LO,FR,pm,51.12436704,4.523149661
LO19,1993,,160828,201609,19,LO,FR,pm,51.12444758,4.52342132
LO2,1993,,160933,201654,2,LO,FR,pc,51.12485009,4.524922465
LO20,1993,,160839,201597,20,LO,FR,pm,51.12433951,4.523578082
LO21,1993,,160815,201635,21,LO,FR,pc,51.12468153,4.523236408
LO22,1993,,160842,201634,22,LO,FR,pc,51.12467204,4.523622039
LO23,1993,,160857,201639,23,LO,FR,pm,51.1247167,4.523836446
LO24,1993,,160876,201658,24,LO,FR,pc,51.12488712,4.524108408
LO25,1993,,160886,201676,25,LO,FR,pm,51.12504873,4.524251787
LO26,1993,,160880,201706,26,LO,FR,pc,51.12531851,4.524166984
LO27,,,160836,201749,27,LO,FR,,51.12570585,4.523539776
LO28,1993,,160850,201721,28,LO,FR,pm,51.1254539,4.523738914
LO29,1993,,160834,201711,29,LO,FR,pc,51.12536432,4.523510071
LO3,1993,,160944,201637,3,LO,FR,pm,51.12469707,4.525079074
LO30,1993,,160823,201702,30,LO,FR,pm,51.12528362,4.523352679
LO31,1993,,160812,201687,31,LO,FR,pm,51.125149,4.523195108
LO32,1993,,160802,201669,32,LO,FR,pc,51.12498739,4.523051732
LO33,1993,,160772,201676,33,LO,FR,pm,51.12505087,4.522623425
LO34,1993,,160801,201648,34,LO,FR,pm,51.12479865,4.523036822
LO35,1993,,160774,201638,35,LO,FR,pm,51.12470927,4.522650863
LO36,1993,,160756,201630,36,LO,FR,pc,51.12463769,4.522393517
LO37,1993,,160746,201612,37,LO,FR,pm,51.12447608,4.522250146
LO38,1993,,160733,201598,38,LO,FR,pm,51.12435048,4.522064043
LO39,1993,,160716,201586,39,LO,FR,pc,51.12424294,4.521820866
LO4,1993,,160931,201625,4,LO,FR,pm,51.12458946,4.524893023
LO40,1993,,160672,201578,40,LO,FR,pm,51.12417184,4.521192151
LO41,1993,,160688,201552,41,LO,FR,pm,51.12393784,4.521419922
LO42,1993,,160706,201529,42,LO,FR,pc,51.12373077,4.521676346
LO43,1993,,160690,201513,43,LO,FR,pm,51.12358725,4.521447338
LO44,1993,,160669,201508,44,LO,FR,pc,51.12354269,4.521147239
LO45,1993,,160717,201509,45,LO,FR,pm,51.12355079,4.521832873
LO46,1993,,160728,201489,46,LO,FR,pc,51.12337081,4.521989398
LO47,1993,,160744,201461,47,LO,FR,pm,51.12311883,4.522217102
LO48,1993,,160765,201435,48,LO,FR,pm,51.12288473,4.522516279
LO49,1993,,160780,201413,49,LO,FR,pc,51.1226867,4.522729873
LO5,1993,,160917,201615,5,LO,FR,pc,51.12449984,4.524692749
LO50,1993,,160795,201402,50,LO,FR,pm,51.12258754,4.522943792
LO51,1993,,160800,201382,51,LO,FR,pm,51.12240768,4.523014612
LO52,1993,,160817,201365,52,LO,FR,pm,51.12225455,4.523256917
LO53,1993,,160789,201368,53,LO,FR,pc,51.12228204,4.522857081
LO54,1993,,160769,201367,54,LO,FR,pm,51.12227343,4.522571391
LO55,1993,,160746,201369,55,LO,FR,pm,51.12229183,4.522242941
LO56,1993,,160735,201394,56,LO,FR,pc,51.12251675,4.522086568
LO57,1993,,160719,201414,57,LO,FR,pm,51.12269683,4.52185863
LO58,1993,,160727,201451,58,LO,FR,pm,51.12302926,4.52197399
LO59,1996,,160653,201489,59,LO,FR,pc,51.1233722,4.520918146
LO6,1993,,160906,201607,6,LO,FR,pm,51.12442813,4.524535388
LO60,1996,,160650,201507,60,LO,FR,pm,51.12353405,4.520875825
LO61,1996,,160637,201523,61,LO,FR,pm,51.12367811,4.52069061
LO62,1996,,160796,201778,62,LO,FR,pm,51.12596727,4.522969276
LO7,1993,,160879,201585,7,LO,FR,pm,51.12423089,4.524149068
LO8,1993,,160854,201586,8,LO,FR,pc,51.12424035,4.523792007
LO9,1993,,160839,201556,9,LO,FR,pm,51.12397098,4.523576855
LOA01,2000,2001,160908,201644,A01,LO,FR,pm,,
LOA02,2000,2001,160890,201632,A02,LO,FR,pc,,
LOA03,2000,2001,160866,201615,A03,LO,FR,pm,,
LOA04,2000,2001,160817,201576,A04,LO,FR,pm,,
LOA05,2000,2001,160794,201619,A05,LO,FR,pc,,
LOA06,2000,2001,160859,201689,A06,LO,FR,pm,,
LOA07,2000,2001,160840,201674,A07,LO,FR,pc,,
LOA08,2000,2001,160821,201667,A08,LO,FR,pm,,
LOA09,2000,2001,160750,201651,A09,LO,FR,pm,,
LOA10,2000,2001,160780,201760,A10,LO,FR,pc,,
LOA11,2000,2001,160799,201730,A11,LO,FR,pm,,
LOA12,2000,2001,160780,201714,A12,LO,FR,pc,,
LOA13,2000,2001,160767,201747,A13,LO,FR,pm,,
LOA14,2000,2001,160745,201736,A14,LO,FR,pm,,
LOA15,2000,2001,160732,201718,A15,LO,FR,pc,,
LOA16,2000,2001,160719,201696,A16,LO,FR,pm,,
LOB01,2003,2004,160768.2858,201389.8935,B01,LO,FR,pm,,
LOB02,2003,2004,160751.8012,201410.0312,B02,LO,FR,pc,,
LOB03,2003,2004,160734.9311,201427.9322,B03,LO,FR,pm,,
LOB04,2003,2004,160724.561,201475.2054,B04,LO,FR,pc,,
LOB05,2003,2004,160707.2173,201498.9554,B05,LO,FR,pm,,
LOB06,2003,2004,160782.9744,201540.109,B06,LO,FR,pc,,
LOB07,2003,2004,160759.0334,201520.962,B07,LO,FR,pm,,
LOB08,2003,2004,160741.1656,201507.3696,B08,LO,FR,pm,,
LOB09,2003,2004,160761.1738,201598.2874,B09,LO,FR,pc,,
LOB10,2003,2004,160736.0943,201570.0698,B10,LO,FR,pm,,
LOB11,2003,2004,160718.0808,201547.0163,B11,LO,FR,pc,,
LOB12,2003,2004,160698.8903,201569.71,B12,LO,FR,pm,,
LOB13,2003,2004,160715.9728,201643.678,B13,LO,FR,pm,,
LOB14,2003,2004,160697.074,201621.6782,B14,LO,FR,pc,,
LOB15,2003,2004,160684.9329,201594.1307,B15,LO,FR,pm,,
LOB16,2003,2004,160668.446,201532.4788,B16,LO,FR,pm,,
LOB17,2003,2004,160657.0723,201550.6861,B17,LO,FR,pc,,
LOCB2,,,160769,201499,CB2,LO,FR,,,
LOF1,,,160906.1051,201658.1004,F1,LO,FR,,,
LOF2,,,160745.4197,201396.6461,F2,LO,FR,,,
LOF3,,,160764.484,201666.2708,F3,LO,FR,,,
LOFD15,,,160710,201455,FD15,LO,FR,,,
LS1,1994,2006,161398,204574,1,LS,FR,pm,,
LS2,1994,2006,161417,204587,2,LS,FR,pc,,
LS3,1994,2001,161435,204600,3,LS,FR,pm,,
LS4,1994,2006,161426,204632,4,LS,FR,pm,,
LS5,1994,1996,161409,204651,5,LS,FR,pc,,
LS6,1994,2006,161396,204630,6,LS,FR,pm,,
LS7,1994,2004,161368,204625,7,LS,FR,pm,,
LS8,1994,2006,161379,204595,8,LS,FR,pc,,
LSCB2,,,161426,204632,CB2,LS,FR,,,
LW000,2006,2010,160351.8039,201381.1984,000,LW,FR,,,
LW1,1993,,160259,201302,1,LW,FR,pm,51.12169847,4.515285206
LW10,1993,,160357,201406,10,LW,FR,pm,51.12263154,4.516687898
LW2,1993,,160272,201317,2,LW,FR,pc,51.12183306,4.515471308
LW3,1993,,160291,201328,3,LW,FR,pm,51.1219316,4.515742996
LW4,1993,,160316,201334,4,LW,FR,pm,51.12198509,4.51610024
LW5,1993,,160336,201347,5,LW,FR,pc,51.12210158,4.516386269
LW6,1993,,160353,201374,6,LW,FR,pm,51.12234397,4.516629851
LW7,1993,,160375,201388,7,LW,FR,pc,51.12246942,4.516944479
LW8,1993,,160411,201407,8,LW,FR,pm,51.12263955,4.517459216
LW9,1993,,160391,201430,9,LW,FR,pc,51.12284665,4.517174213
LWCB1,,,160388,201395,CB1,LW,FR,cb,51.1225321,4.51713036
LWCB2,,,160388,201395,CB2,LW,FR,cb,51.1225321,4.51713036
LWF1,,,160388.6436,201358.5174,F1,LW,FR,,51.122533,4.517130363
LWF_B2,2012,,160233,201320,F_B2,LW,FR,FPT,,
MP1,2000,,158030.8378,218616.0417,1,MP,PB,,51.24858688,4.483762842
MP10,2000,,158143.2765,218511.3475,10,MP,PB,,51.24858593,4.485381201
MP11,2000,,158110.0038,218558.1014,11,MP,PB,,51.24858704,4.484908585
MP12,2000,,158093.3675,218595.3897,12,MP,PB,,51.24858792,4.484665117
MP13,2000,,158083.3283,218611.1656,13,MP,PB,,51.2485887,4.484521901
MP14,2000,,158067.5525,218635.5464,14,MP,PB,,51.24858957,4.484292754
MP15,2000,,158048.6215,218664.2297,15,MP,PB,,51.24859048,4.484020643
MP16,2000,,158030.8378,218692.3394,16,MP,PB,,51.24859137,4.483762853
MP17,2000,,158016.2093,218714.1388,17,MP,PB,,51.24859221,4.48356235
MP18,2000,,157996.7046,218691.7658,18,MP,PB,,51.24859313,4.483275917
MP19,2000,,158019.0776,218648.7407,19,MP,PB,,51.24859345,4.483605319
MP2,2000,,158051.7766,218595.6765,2,MP,PB,,51.24859364,4.484063616
MP20,2000,,157995.2705,218640.4226,20,MP,PB,,51.24859506,4.4832616
MP21,2000,,157984.9445,218675.7031,21,MP,PB,,51.24859586,4.483104062
MP22,2000,,157969.7423,218653.3301,22,MP,PB,,51.24859671,4.482889237
MP23,2000,,157964.0056,218621.7784,23,MP,PB,,51.24859742,4.48281763
MP24,2000,,157927.5778,218598.8317,24,MP,PB,,51.24859857,4.482287726
MP3,2000,,158071.5682,218576.7455,3,MP,PB,,51.2485972,4.484350061
MP4,2000,,158088.4913,218531.139,4,MP,PB,,51.2485976,4.484593532
MP5,2000,,158066.4052,218501.5952,5,MP,PB,,51.24859856,4.484278455
MP6,2000,,158051.203,218475.2065,6,MP,PB,,51.24859941,4.48406363
MP7,2000,,158065.5447,218455.1282,7,MP,PB,,51.24859985,4.484264136
MP8,2000,,158091.0728,218472.625,8,MP,PB,,51.24860013,4.484636503
MP9,2000,,158118.6088,218493.277,9,MP,PB,,51.24860039,4.485023192
RO1,,,159207,202508,1,RO,FR,pm,51.13255656,4.50029026
RO10,,,159259,202551,10,RO,FR,pm,51.13294223,4.501034242
RO11,,,159281,202545,11,RO,FR,pm,51.13288795,4.501348388
RO12,,,159309,202519,12,RO,FR,pm,51.13265379,4.501747737
RO13,,,159374,202555,13,RO,FR,pm,51.13297633,4.502677274
RO14,,,159405,202573,14,RO,FR,cb,51.13313762,4.503120618
RO15,,,159421,202555,15,RO,FR,pm,51.13297557,4.503348732
RO16,,,159388,202498,16,RO,FR,pm,51.13246375,4.502875806
RO17,,,159352,202491,17,RO,FR,pm,51.13240142,4.502361323
RO18,,,159304,202495,18,RO,FR,pm,51.13243815,4.501675689
RO19,,,159437,202509,19,RO,FR,pm,51.13256183,4.503576115
RO2,,,159193,202543,2,RO,FR,pm,51.13287138,4.500091141
RO20,,,159485,202480,20,RO,FR,,51.13230037,4.504261095
RO21,,,159441,202466,21,RO,FR,pm,51.13217525,4.50363214
RO22,,,159404,202469,22,RO,FR,pm,51.13220282,4.503103632
RO23,,,159372,202463,23,RO,FR,cb,51.13214941,4.502646322
RO24,,,159365,202438,24,RO,FR,pm,51.13192481,4.502545673
RO25,,,159347,202418,25,RO,FR,pm,51.13174533,4.502288009
RO26,,,159326,202414,26,RO,FR,,51.13170971,4.501987901
RO27,,,159325,202402,27,RO,FR,pm,51.13160186,4.501973306
RO28,,,159340,202374,28,RO,FR,pm,51.13134994,4.502186873
RO28A,,,159346,202321,28A,RO,FR,pm,51.13087344,4.502271221
RO29,,,159290,202349,29,RO,FR,pm,51.13112603,4.50147194
RO3,,,159158,202615,3,RO,FR,pm,51.13351912,4.49959294
RO30,,,159287,202369,30,RO,FR,,51.13130585,4.501429595
RO31,,,159270,202380,31,RO,FR,pm,51.131405,4.501187017
RO32,,,159244,202416,32,RO,FR,pm,51.13172901,4.500816503
RO33,,,159266,202441,33,RO,FR,pm,51.13195337,4.501131434
RO35,,,159220,202469,35,RO,FR,,51.13220579,4.500474989
RO36,,,159376,202367,36,RO,FR,pm,51.13128643,4.502700982
RO37,,,159264,202368,37,RO,FR,pm,51.13129723,4.501100995
RO38,,,159243,202390,38,RO,FR,pm,51.13149532,4.500801554
RO39,,,159204,202349,39,RO,FR,pm,51.13112741,4.500243363
RO3A,,,159129,202580,3A,RO,FR,pm,51.13320498,4.499177749
RO4,,,159109,202601,4,RO,FR,pm,51.13339406,4.498892549
RO5,,,159101,202585,5,RO,FR,pm,51.13325036,4.498777855
RO6,,,159170,202561,6,RO,FR,pm,51.13303354,4.499763011
RO7,,,159207,202584,7,RO,FR,cb,51.13323969,4.500292191
RO8,,,159202,202587,8,RO,FR,pm,51.13326674,4.500220835
RO9,,,159237,202581,9,RO,FR,pm,51.13321225,4.500720707
T1,1979,1993,157164,218164,1,T,PB,,,
T10,1979,1993,157454,218249,10,T,PB,,,
T11,1979,1993,157430,218225,11,T,PB,,,
T12,1979,1993,157400,218259,12,T,PB,,,
T13,1979,1993,157390,218285,13,T,PB,,,
T14,1979,1993,157351,218257,14,T,PB,,,
T15,1979,1993,157309,218223,15,T,PB,,,
T16,1979,1993,157256,218190,16,T,PB,,,
T17,1979,1993,157224,218160,17,T,PB,,,
T18,1979,1993,157184,218131,18,T,PB,,,
T19,1979,1993,157188,218109,19,T,PB,,,
T2,1979,1993,157200,218190,2,T,PB,,,
T20,1979,1993,157242,218136,20,T,PB,,,
T21,1979,1993,157271,218164,21,T,PB,,,
T22,1979,1993,157328,218201,22,T,PB,,,
T23,1979,1993,157367,218232,23,T,PB,,,
T24,1979,1993,157386,218196,24,T,PB,,,
T25,1979,1993,157346,218184,25,T,PB,,,
T26,1979,1993,157294,218137,26,T,PB,,,
T27,1979,1993,157251,218109,27,T,PB,,,
